Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,signature,group_id
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
Diabetes mellitus,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"('Diabetes mellitus', frozenset({'excessive_hunger', 'weight_loss', 'fatigue', 'restlessness', 'blurred_and_distorted_vision', 'lethargy', 'polyuria', 'obesity', 'increased_appetite', 'irregular_sugar_level'}))",0
